iter	Passed	Remaining
0	0	73
1	1	71
2	1	60
3	2	58
4	3	58
5	3	55
6	4	56
7	4	57
8	5	57
9	6	58
10	6	55
11	7	55
12	8	54
13	8	53
14	9	52
15	9	52
16	10	50
17	11	51
18	11	50
19	12	48
20	12	47
21	13	47
22	13	46
23	14	45
24	14	44
25	15	43
26	15	43
27	16	42
28	17	41
29	17	41
30	18	40
31	18	40
32	19	39
33	19	38
34	20	37
35	20	36
36	22	37
37	22	36
38	23	36
39	24	36
40	24	35
41	25	34
42	25	33
43	26	33
44	26	32
45	27	32
46	27	31
47	28	30
48	29	30
49	29	29
50	30	29
51	31	29
52	32	28
53	33	28
54	33	27
55	34	27
56	35	26
57	36	26
58	37	25
59	37	25
60	38	24
61	38	23
62	39	23
63	40	22
64	40	21
65	41	21
66	41	20
67	41	19
68	42	19
69	42	18
70	43	17
71	43	16
72	44	16
73	44	15
74	45	15
75	45	14
76	45	13
77	46	13
78	47	12
79	47	11
80	48	11
81	48	10
82	49	10
83	49	9
84	50	8
85	51	8
86	51	7
87	52	7
88	52	6
89	53	5
90	53	5
91	54	4
92	54	4
93	55	3
94	55	2
95	56	2
96	57	1
97	58	1
98	58	0
99	59	0
