iter	Passed	Remaining
0	14	14760
1	25	12905
2	35	11937
3	46	11490
4	56	11273
5	66	11098
6	77	11031
7	88	10947
8	97	10750
9	107	10655
10	117	10593
11	126	10406
12	134	10238
13	143	10132
14	153	10078
15	162	9965
16	170	9837
17	179	9769
18	188	9737
19	196	9651
20	205	9565
21	213	9492
22	221	9420
23	229	9347
24	238	9298
25	246	9252
26	254	9186
27	263	9149
28	272	9113
29	280	9084
30	288	9033
31	297	9005
32	306	8976
33	315	8960
34	324	8936
35	337	9036
36	346	9028
37	355	9008
38	364	8988
39	373	8958
40	381	8933
41	390	8914
42	400	8906
43	408	8883
44	417	8862
45	426	8838
46	434	8811
47	443	8800
48	452	8783
49	463	8798
50	472	8800
51	482	8789
52	491	8778
53	517	9068
54	528	9085
55	538	9076
56	548	9067
57	556	9041
58	566	9041
59	575	9015
60	585	9013
61	594	9001
62	603	8979
63	612	8955
64	621	8940
65	630	8925
66	639	8907
67	648	8886
68	656	8857
69	665	8840
70	674	8825
71	683	8815
72	697	8856
73	708	8864
74	720	8889
75	735	8936
76	745	8938
77	756	8938
78	765	8927
79	774	8908
80	784	8903
81	793	8886
82	803	8872
83	813	8869
84	822	8852
85	832	8844
86	841	8829
87	849	8807
88	859	8793
89	868	8779
90	877	8770
91	888	8765
92	897	8750
93	907	8742
94	917	8742
95	927	8736
96	937	8724
97	948	8726
98	958	8720
99	968	8712
100	977	8701
101	987	8693
102	997	8684
103	1006	8672
104	1015	8658
105	1024	8641
106	1033	8625
107	1042	8610
108	1051	8597
109	1060	8580
110	1069	8569
111	1078	8550
112	1086	8527
113	1094	8506
114	1102	8487
115	1111	8467
116	1119	8447
117	1127	8429
118	1136	8413
119	1147	8413
120	1157	8405
121	1166	8397
122	1174	8377
123	1183	8358
124	1191	8341
125	1199	8321
126	1208	8309
127	1218	8298
128	1226	8279
129	1234	8261
130	1243	8246
131	1251	8229
132	1259	8213
133	1267	8192
134	1275	8174
135	1284	8158
136	1292	8139
137	1300	8122
138	1308	8105
139	1316	8089
140	1324	8068
141	1331	8046
142	1340	8030
143	1349	8019
144	1357	8004
145	1365	7986
146	1373	7972
147	1382	7956
148	1390	7942
149	1403	7954
150	1411	7937
151	1422	7933
152	1430	7918
153	1439	7908
154	1448	7895
155	1457	7883
156	1467	7878
157	1477	7871
158	1485	7858
159	1495	7852
160	1504	7841
161	1512	7824
162	1521	7811
163	1530	7801
164	1539	7789
165	1547	7776
166	1557	7767
167	1565	7750
168	1574	7741
169	1582	7727
170	1592	7718
171	1600	7707
172	1609	7692
173	1617	7678
174	1626	7665
175	1634	7653
176	1642	7637
177	1651	7624
178	1659	7613
179	1668	7603
180	1677	7588
181	1685	7575
182	1693	7562
183	1704	7557
184	1712	7545
185	1721	7535
186	1731	7526
187	1739	7515
188	1749	7506
189	1757	7493
190	1766	7483
191	1775	7473
192	1784	7462
193	1793	7450
194	1802	7441
195	1812	7433
196	1821	7425
197	1831	7419
198	1840	7410
199	1849	7398
200	1857	7385
201	1866	7375
202	1875	7363
203	1884	7353
204	1892	7340
205	1901	7330
206	1909	7316
207	1917	7303
208	1926	7292
209	1934	7278
210	1942	7264
211	1951	7251
212	1959	7238
213	1967	7225
214	1976	7215
215	1989	7221
216	2002	7226
217	2017	7235
218	2031	7243
219	2044	7248
220	2056	7247
221	2065	7237
222	2076	7234
223	2085	7224
224	2093	7211
225	2103	7203
226	2112	7192
227	2120	7179
228	2128	7166
229	2136	7151
230	2144	7139
231	2152	7126
232	2161	7113
233	2169	7101
234	2177	7089
235	2186	7078
236	2195	7067
237	2203	7055
238	2212	7043
239	2220	7031
240	2229	7019
241	2237	7007
242	2245	6995
243	2253	6982
244	2261	6970
245	2270	6959
246	2279	6947
247	2287	6936
248	2296	6926
249	2304	6914
250	2312	6901
251	2321	6890
252	2330	6880
253	2339	6870
254	2347	6857
255	2355	6845
256	2364	6836
257	2372	6822
258	2381	6812
259	2389	6800
260	2397	6788
261	2407	6781
262	2417	6775
263	2427	6767
264	2435	6754
265	2444	6744
266	2452	6732
267	2462	6725
268	2471	6716
269	2481	6708
270	2489	6698
271	2498	6687
272	2507	6677
273	2517	6671
274	2527	6663
275	2536	6653
276	2545	6644
277	2554	6635
278	2563	6625
279	2571	6613
280	2579	6600
281	2588	6589
282	2596	6578
283	2605	6569
284	2615	6560
285	2625	6554
286	2634	6544
287	2643	6536
288	2653	6527
289	2662	6518
290	2672	6510
291	2680	6499
292	2688	6488
293	2697	6477
294	2706	6468
295	2714	6457
296	2724	6448
297	2733	6438
298	2742	6428
299	2751	6419
300	2760	6411
301	2769	6400
302	2778	6391
303	2787	6381
304	2796	6373
305	2806	6364
306	2816	6358
307	2827	6352
308	2837	6344
309	2847	6336
310	2857	6329
311	2866	6321
312	2876	6314
313	2885	6305
314	2896	6298
315	2905	6290
316	2914	6280
317	2924	6272
318	2934	6264
319	2945	6258
320	2954	6250
321	2965	6244
322	2975	6236
323	2985	6228
324	2995	6221
325	3005	6214
326	3015	6207
327	3026	6199
328	3035	6190
329	3044	6181
330	3053	6172
331	3063	6163
332	3072	6154
333	3082	6145
334	3091	6136
335	3100	6128
336	3110	6119
337	3119	6110
338	3128	6100
339	3137	6090
340	3146	6081
341	3155	6071
342	3163	6060
343	3172	6050
344	3182	6043
345	3194	6037
346	3203	6028
347	3213	6019
348	3222	6011
349	3231	6001
350	3240	5992
351	3249	5982
352	3258	5972
353	3266	5960
