iter	Passed	Remaining
0	10	10442
1	20	10130
2	35	11938
3	53	13349
4	69	13896
5	83	13830
6	93	13299
7	102	12692
8	109	12059
9	116	11490
10	121	10908
11	126	10432
12	131	10010
13	136	9631
14	142	9331
15	147	9066
16	152	8821
17	157	8595
18	162	8415
19	168	8241
20	173	8094
21	178	7954
22	184	7830
23	189	7707
24	195	7620
25	200	7518
26	205	7420
27	211	7338
28	216	7259
29	222	7193
30	227	7123
31	233	7060
32	239	7004
33	245	6961
34	250	6911
35	256	6857
36	261	6812
37	267	6760
38	272	6718
39	278	6676
40	283	6632
41	288	6591
42	294	6551
43	299	6506
44	304	6464
45	310	6430
46	315	6393
47	320	6364
48	326	6332
49	331	6301
50	337	6273
51	342	6247
52	348	6221
53	353	6194
54	358	6164
55	364	6136
56	369	6109
57	375	6091
58	380	6069
59	386	6048
60	391	6027
61	396	6004
62	401	5977
63	407	5960
64	413	5945
65	418	5923
66	424	5904
67	429	5887
68	435	5870
69	440	5853
70	445	5835
71	451	5814
72	456	5796
73	461	5777
74	466	5758
75	472	5743
76	477	5724
77	482	5708
78	488	5693
79	493	5678
80	499	5662
81	504	5649
82	509	5634
83	515	5618
84	520	5604
85	525	5589
86	531	5577
87	536	5562
88	542	5550
89	547	5538
90	553	5524
91	558	5511
92	563	5498
93	569	5486
94	574	5475
95	580	5462
96	585	5449
97	590	5439
98	596	5426
99	601	5415
100	607	5404
101	612	5394
102	618	5384
103	623	5373
104	629	5363
105	634	5351
106	639	5339
107	645	5327
108	650	5316
109	655	5307
110	661	5298
111	666	5287
112	672	5276
113	677	5267
114	683	5258
115	689	5252
116	694	5242
117	699	5231
118	705	5223
119	711	5214
120	716	5204
121	721	5193
122	727	5184
123	732	5175
124	738	5167
125	743	5158
126	749	5150
127	754	5140
128	759	5130
129	765	5120
130	770	5113
131	776	5105
132	782	5099
133	788	5093
134	793	5084
135	799	5077
136	804	5070
137	810	5062
138	816	5055
139	821	5048
140	827	5042
141	833	5035
142	838	5027
143	844	5021
144	850	5012
145	855	5003
146	861	4997
147	866	4987
148	872	4980
149	877	4972
150	882	4962
151	888	4955
152	894	4949
153	899	4940
154	904	4931
155	910	4923
156	915	4917
157	921	4910
158	927	4903
159	932	4894
160	937	4888
161	943	4879
162	948	4872
163	954	4864
164	960	4859
165	965	4851
166	971	4845
167	976	4838
168	982	4830
169	987	4823
170	993	4815
171	999	4809
172	1004	4802
173	1010	4795
174	1015	4788
175	1021	4781
176	1026	4773
177	1032	4766
178	1037	4757
179	1042	4750
180	1048	4743
181	1053	4736
182	1059	4729
183	1064	4720
184	1070	4714
185	1075	4707
186	1080	4699
187	1086	4691
188	1091	4684
189	1097	4678
190	1102	4671
191	1108	4664
192	1113	4657
193	1119	4649
194	1124	4643
195	1130	4635
196	1135	4628
197	1140	4620
198	1146	4614
199	1151	4606
200	1157	4599
201	1162	4592
202	1168	4587
203	1173	4579
204	1179	4572
205	1184	4565
206	1190	4559
207	1195	4551
208	1200	4544
209	1206	4537
210	1211	4531
211	1217	4524
212	1223	4518
213	1228	4511
214	1233	4504
215	1239	4497
216	1248	4504
217	1256	4508
218	1265	4514
219	1272	4512
220	1279	4508
221	1285	4504
222	1290	4497
223	1296	4491
224	1301	4483
225	1307	4476
226	1312	4469
227	1317	4462
228	1323	4455
229	1328	4447
230	1334	4441
231	1339	4433
232	1344	4426
233	1349	4419
234	1355	4412
235	1360	4405
236	1365	4395
237	1370	4388
238	1376	4382
239	1381	4374
240	1386	4367
241	1392	4360
242	1397	4353
243	1402	4345
244	1408	4339
245	1413	4332
246	1418	4324
247	1423	4317
248	1429	4309
249	1434	4303
250	1439	4296
251	1444	4288
252	1449	4281
253	1455	4274
254	1460	4267
255	1466	4260
256	1471	4253
257	1476	4246
258	1481	4239
259	1487	4233
260	1492	4225
261	1497	4219
262	1503	4212
263	1509	4206
264	1514	4200
265	1519	4193
266	1525	4187
267	1530	4180
268	1535	4173
269	1541	4167
270	1546	4160
271	1552	4154
272	1557	4147
273	1562	4140
274	1567	4133
275	1573	4126
276	1578	4120
277	1583	4113
278	1589	4106
279	1594	4100
280	1599	4093
281	1605	4088
282	1611	4082
283	1617	4076
284	1622	4070
285	1628	4064
286	1634	4059
287	1639	4053
288	1645	4047
