iter	MultiClass
0	1.914593431
1	1.860020584
2	1.831306145
3	1.799996012
4	1.768467419
5	1.732922378
6	1.698449757
7	1.653341253
8	1.623072577
9	1.593701012
10	1.57020962
11	1.546955025
12	1.531718773
13	1.509827706
14	1.486749008
15	1.465409918
16	1.451500313
17	1.43578632
18	1.417639106
19	1.387213789
20	1.365720892
21	1.351984037
22	1.331943175
23	1.322458864
24	1.313188551
25	1.307564041
26	1.301454834
27	1.275004778
28	1.259554623
29	1.249001809
30	1.23474115
31	1.219162512
32	1.208370686
33	1.19979721
34	1.186714841
35	1.181283763
36	1.172502013
37	1.161141779
38	1.148344726
39	1.142217668
40	1.130044306
41	1.125407733
42	1.119115865
43	1.10789769
44	1.100615855
45	1.099914342
46	1.09329981
47	1.089172719
48	1.079265278
49	1.069928208
50	1.062442739
51	1.055411148
52	1.051066651
53	1.047056392
54	1.036531639
55	1.033947184
56	1.029487279
57	1.02600861
58	1.019813281
59	1.013496666
60	1.003881752
61	1.000822218
62	0.9948277843
63	0.986522774
64	0.9831384819
65	0.9796190471
66	0.9749868166
67	0.9701836291
68	0.967511253
69	0.9626733375
70	0.9584286645
71	0.9534903646
72	0.9498602266
73	0.9471840517
74	0.9399183786
75	0.9340288641
76	0.9290632267
77	0.9257555644
78	0.922479264
79	0.920438072
80	0.9152928732
81	0.9105603586
82	0.9073774834
83	0.9013742206
84	0.898569927
85	0.8939284455
86	0.8905262475
87	0.8861061308
88	0.8804279736
89	0.8773397307
90	0.8733188946
91	0.869852271
92	0.8668874596
93	0.8637447792
94	0.8601279001
95	0.8579394879
96	0.8543501523
97	0.8521477516
98	0.8487955579
99	0.8430721166
100	0.8387833441
101	0.8354201842
102	0.8319476888
103	0.8283115782
104	0.8215914062
105	0.820514293
106	0.8163962027
107	0.8135624586
108	0.8088471143
109	0.8060586809
110	0.8026239133
111	0.8011807782
112	0.7975088192
113	0.793366843
114	0.787921487
115	0.7846176618
116	0.7818452112
117	0.7777928144
118	0.773620176
119	0.7695979758
120	0.7666717639
121	0.7640199247
122	0.7601741852
123	0.757930956
124	0.7556619055
125	0.7527313858
126	0.7484180104
127	0.7450514581
128	0.7420514334
129	0.7397736783
130	0.7358599077
131	0.7333054112
132	0.7312240475
133	0.7284879723
134	0.7258932257
135	0.7250642526
136	0.7218460954
137	0.7192699881
138	0.7185611701
139	0.7154202166
140	0.7135841971
141	0.7114210961
142	0.7087937859
143	0.7068662299
144	0.7055006959
145	0.7040761647
146	0.702787283
147	0.7002362267
148	0.6986550576
149	0.6964510388
150	0.6943281405
151	0.6925146922
152	0.6910895833
153	0.68897641
154	0.686915031
155	0.6855660121
156	0.6843908863
157	0.6833058785
158	0.68204856
159	0.6809114805
160	0.6796494947
161	0.677247237
162	0.6762725744
163	0.6751501428
164	0.6735074831
165	0.6712088768
166	0.6686566804
167	0.6675949438
168	0.6663437244
169	0.6652416435
170	0.6624880245
171	0.6611384918
172	0.660509083
173	0.6583018543
174	0.6570388132
175	0.6551708771
176	0.6536228298
177	0.6516249038
178	0.650439635
179	0.6488922565
180	0.647367164
181	0.6456614866
182	0.6442137495
183	0.6431933827
184	0.6420768291
185	0.6405711723
186	0.6384188795
187	0.636365283
188	0.634928893
189	0.633943032
190	0.6335199394
191	0.632062532
192	0.6303709307
193	0.6291101457
194	0.6274932346
195	0.6258403921
196	0.6238752884
197	0.6226947252
198	0.6214932723
199	0.6204181534
200	0.6193698177
201	0.6179522868
202	0.6159236897
203	0.6138435584
204	0.6125378469
205	0.6109336478
206	0.6099113889
207	0.608548645
208	0.6067323913
209	0.6057390207
210	0.6045864637
211	0.6037024064
212	0.6024828714
213	0.6000944635
214	0.5984332238
215	0.5971576192
216	0.595504067
217	0.593977459
218	0.5933955093
219	0.5924523008
220	0.5910335521
221	0.5891628904
222	0.5881685509
223	0.58735813
224	0.5854233043
225	0.5843909007
226	0.583429158
227	0.5821713462
228	0.5808998654
229	0.5800887042
230	0.5790504013
231	0.5773352322
232	0.5763221311
233	0.5752101297
234	0.5746019735
235	0.5737537195
236	0.5729513731
237	0.5717461433
238	0.5702130917
239	0.5685975217
240	0.5678726676
241	0.5670130143
242	0.5660651926
243	0.5652652615
244	0.5641471221
245	0.5622858458
246	0.5607312857
247	0.5597727117
248	0.5586790404
249	0.5578370749
250	0.5564768878
251	0.5557871748
252	0.5551416365
253	0.5546454165
254	0.5538729762
255	0.5524852624
256	0.5514179206
257	0.5505667328
258	0.5494408154
259	0.5486276244
260	0.5481928174
261	0.5477505457
262	0.5467224078
263	0.5455166765
264	0.5447662631
265	0.5439531241
266	0.5431081402
267	0.5422097454
268	0.5412173838
269	0.5406929864
270	0.5394466507
271	0.5383826888
272	0.5366408525
273	0.5348552152
274	0.5335083901
275	0.5326835133
276	0.531978285
277	0.5312348343
278	0.5301502203
279	0.5290385655
280	0.5281059815
281	0.5275859715
282	0.5271220398
283	0.5266535068
284	0.5254463636
285	0.5246548266
286	0.5239030466
287	0.5231662465
288	0.5225470693
289	0.5216416075
290	0.520873966
291	0.5197671775
292	0.5188669114
293	0.5178471206
294	0.5167803749
295	0.5160171437
296	0.5153687357
297	0.5146058584
298	0.5140819045
299	0.5135348144
300	0.512634903
301	0.5123491489
302	0.5115063405
303	0.5110277943
304	0.5105509219
305	0.5097118852
306	0.5086020086
307	0.5079192793
308	0.5068474028
309	0.5064467176
310	0.5058402655
311	0.5051539116
312	0.5046682007
313	0.5041353224
314	0.5034489487
315	0.5024863204
316	0.5016637507
317	0.5007635973
318	0.4996520749
319	0.4990272227
320	0.4985545286
321	0.4980565534
322	0.4979309957
