iter	Passed	Remaining
0	3	3148
1	5	2891
2	8	2842
3	11	2898
4	14	2902
5	17	2916
6	20	2858
7	23	2908
8	26	2924
9	29	2894
10	31	2863
11	34	2832
12	37	2884
13	40	2881
14	43	2873
15	46	2871
16	49	2853
17	52	2854
18	55	2843
19	58	2843
20	61	2847
21	63	2839
22	66	2827
23	69	2825
24	72	2839
25	75	2830
26	78	2833
27	81	2834
28	84	2830
29	87	2834
30	90	2837
31	93	2836
32	96	2837
33	99	2839
34	102	2834
35	105	2835
36	109	2836
37	112	2836
38	115	2840
39	118	2834
40	120	2826
41	123	2819
42	126	2817
43	129	2803
44	131	2797
45	133	2765
46	136	2758
47	138	2756
48	141	2746
49	144	2742
50	147	2738
51	150	2735
52	153	2733
53	156	2733
54	158	2729
55	161	2720
56	164	2715
57	167	2715
58	170	2713
59	173	2711
60	175	2705
61	178	2698
62	181	2692
63	183	2686
64	186	2677
65	188	2673
66	191	2669
67	194	2665
68	197	2659
69	199	2656
70	202	2653
71	205	2650
72	208	2646
73	211	2644
74	214	2640
75	217	2640
76	219	2633
77	222	2632
78	225	2628
79	227	2621
80	230	2618
81	233	2612
82	236	2608
83	239	2608
84	242	2608
85	245	2604
86	247	2601
87	250	2600
88	254	2600
89	257	2598
90	259	2596
91	262	2594
92	265	2590
93	268	2586
94	271	2587
95	274	2583
96	277	2581
97	280	2579
98	283	2576
99	285	2571
100	288	2569
101	291	2565
102	294	2562
103	297	2559
104	299	2557
105	302	2553
106	305	2550
107	308	2546
108	310	2541
109	313	2539
110	316	2537
111	319	2535
112	322	2533
113	325	2529
114	328	2528
115	331	2527
116	335	2533
117	340	2547
118	346	2564
119	350	2573
120	354	2578
121	359	2589
122	364	2595
123	367	2597
124	371	2598
125	374	2598
126	377	2595
127	380	2593
128	384	2593
129	387	2590
130	390	2587
131	392	2583
132	395	2578
133	398	2575
134	401	2572
135	404	2568
136	407	2564
137	409	2559
138	412	2556
139	415	2553
140	418	2548
141	421	2544
142	424	2542
143	427	2538
144	429	2534
145	432	2531
146	435	2527
147	438	2522
148	441	2520
149	443	2515
150	446	2511
151	449	2508
152	452	2505
153	455	2502
154	458	2497
155	461	2494
156	463	2490
157	466	2485
158	469	2483
159	472	2478
160	474	2474
161	477	2471
162	480	2466
163	483	2463
164	486	2459
165	488	2456
166	491	2452
167	494	2448
168	497	2444
169	499	2441
170	502	2436
171	505	2435
172	508	2432
173	511	2428
174	514	2424
175	517	2420
176	520	2418
177	523	2415
178	525	2411
179	528	2408
180	531	2405
181	534	2401
182	537	2398
183	539	2394
184	542	2391
185	545	2387
186	548	2384
187	551	2382
188	554	2379
189	557	2376
190	559	2371
191	562	2368
192	565	2364
193	568	2360
194	571	2357
195	573	2352
196	576	2350
197	579	2347
198	582	2343
199	584	2339
200	587	2335
201	590	2332
202	593	2329
203	595	2325
204	598	2321
205	601	2319
206	604	2315
207	607	2311
208	610	2308
209	612	2305
210	615	2301
211	618	2298
212	621	2295
213	624	2293
214	627	2289
215	629	2286
216	632	2283
217	635	2281
218	639	2279
219	642	2276
220	644	2273
221	647	2269
222	650	2266
223	653	2263
224	656	2260
225	659	2258
226	662	2254
227	664	2251
228	667	2247
229	670	2245
