iter	RMSE
0	607.6135894
1	574.4490662
2	544.3317442
3	519.6002186
4	501.7855019
5	481.8395601
6	464.3842783
7	449.337457
8	434.7645463
9	419.5101646
10	404.0129816
11	391.352578
12	380.0536384
13	373.2932271
14	365.3052778
15	356.9767949
16	349.7951804
17	343.0636522
18	336.3552196
19	331.8017034
20	327.7852199
21	321.7523587
22	317.1616447
23	313.9095147
24	310.2139677
25	306.3878287
26	303.5260076
27	299.7813662
28	295.4703009
29	293.0791154
30	289.9408522
31	288.0430295
32	285.6201168
33	283.1743341
34	281.5783489
35	278.9463999
36	277.0638267
37	274.6267236
38	274.1201076
39	273.1072158
40	270.6432765
41	268.7334732
42	267.1670667
43	265.2545891
44	264.6885758
45	263.7277946
46	262.8198991
47	262.1537356
48	261.1515374
49	259.95048
50	258.5079757
51	256.6140194
52	256.115897
53	254.7493061
54	253.7942856
55	252.781121
56	252.0141125
57	250.6083265
58	249.471216
59	248.0037475
60	246.9497317
61	245.3424892
62	244.1283115
63	243.5080134
64	241.8228046
65	240.9220325
66	240.1832086
67	238.76377
68	238.4286268
69	237.7595491
70	236.9499596
71	236.1163884
72	235.6209044
73	234.9317444
74	234.1043903
75	233.3751914
76	232.4415528
77	231.4982329
78	231.1566424
79	230.1758144
80	229.0687291
81	227.6606871
82	227.3454047
83	226.7819926
84	225.5254156
85	224.6438838
86	224.0056954
87	223.3008816
88	222.9800976
89	222.3341402
90	221.9583402
91	221.5348204
92	219.8019911
93	218.3819452
94	217.7646013
95	217.2662928
96	215.9325009
97	214.5514125
98	213.3814746
99	212.9742162
100	212.2003482
101	211.890209
102	211.4633671
103	210.5685082
104	210.314114
105	210.0427769
106	209.4078199
107	209.0437673
108	208.2927694
109	208.0339587
110	207.7182877
111	207.074936
112	206.8416245
113	204.7980781
114	204.2397435
115	203.0069392
116	202.7855566
117	201.6048049
118	200.8872218
119	200.2508254
120	199.2819261
121	198.6822827
122	198.0141584
123	197.0010404
124	196.6940174
125	196.1952725
126	195.9500721
127	195.6663827
128	193.6365341
129	193.172902
130	192.4574195
131	192.1044522
132	191.6811945
133	191.4234938
134	191.2964992
135	191.0194179
136	190.8368437
137	190.1072506
138	189.1607685
139	188.4896346
140	187.9053093
141	187.6416525
142	186.3400096
143	185.8376853
144	185.714495
145	184.926573
146	184.7361763
147	184.3552026
148	184.1121006
149	183.6939101
150	182.7320208
151	182.0671798
152	180.6282817
153	179.9214821
154	179.8143398
155	179.2067102
156	178.9546307
157	178.5012686
158	177.8432418
159	177.7236077
160	177.3380707
161	176.7452721
162	175.9392597
163	175.8231177
164	175.77152
165	175.3424183
166	174.9103703
167	174.1469425
168	173.8025454
169	173.5050739
170	173.3345404
171	172.3841564
172	172.171069
173	172.0674156
174	171.8174852
175	171.178628
176	170.3690835
177	169.6806382
178	169.2874031
179	168.825812
180	168.6268874
181	168.4577217
182	168.063277
183	167.8459577
184	167.3803278
185	167.163118
186	166.8410083
187	166.4637904
188	166.2299703
189	165.3985979
190	165.2078814
191	164.5882751
192	164.2225677
193	163.8255352
194	163.7539742
195	163.6778915
196	163.0887376
197	162.6194994
198	162.3375708
199	161.9336978
200	161.7196484
201	161.259476
202	161.0071778
203	160.9301427
204	160.4597694
205	160.2425495
206	159.9463954
207	159.52779
208	159.3267976
209	158.8790803
210	158.5619159
211	158.4154402
212	158.0745014
213	157.65841
214	157.5984215
215	157.5180474
216	157.4022527
217	157.0289223
218	156.8305634
219	156.6719038
220	156.4077759
221	156.162796
222	155.9513191
223	155.617352
224	155.4216309
225	155.3361668
226	155.0955808
227	154.6583067
228	154.4210477
229	154.2842977
230	153.9536146
231	153.6650159
232	152.8280974
233	152.591463
234	152.4704017
235	152.1137267
236	151.8909999
237	151.5109121
238	151.4640913
239	151.3425124
240	151.065415
241	150.8636104
242	150.5435881
243	150.1826991
244	149.9099326
245	149.5989687
246	149.4674871
247	149.143805
248	149.0989416
249	149.005457
250	148.9646468
251	148.7668538
252	148.6745212
253	148.5379025
254	148.3889325
255	148.3027042
256	148.0953555
257	147.9006243
258	147.8495562
259	147.6925118
260	147.5877267
261	147.4227384
262	147.2421471
263	147.192637
264	147.0183218
265	146.8338495
266	146.7721092
267	146.6513686
268	146.157881
269	145.9242125
270	145.3331354
271	145.1647134
272	144.9569542
273	144.8781654
274	144.60879
275	144.4838373
276	144.3273726
277	144.2633042
278	144.0876803
279	143.9704839
280	143.8518468
281	143.8032766
282	143.5170461
283	143.4695822
284	143.1396174
285	143.0203284
286	142.9120288
287	142.7605748
288	142.6327971
289	142.3392187
290	142.1770426
291	142.1085478
292	142.0392253
293	141.8686732
294	141.642724
295	141.6087324
296	141.4286058
297	141.2649862
298	141.1357433
299	141.0597431
300	140.9071883
301	140.7051902
302	140.4889475
303	140.3362485
304	140.1852568
305	140.1102863
306	140.0089398
307	139.9617676
308	139.8093008
309	139.6498355
310	139.4918374
311	139.3926605
312	139.3428561
313	139.1101344
314	138.6837404
315	138.525569
