iter	Passed	Remaining
0	36	27493
1	82	30773
2	123	30825
3	162	30353
4	203	30269
5	247	30662
6	284	30237
7	315	29298
8	353	29104
9	383	28415
10	427	28723
11	481	29619
12	520	29516
13	556	29231
14	592	29022
15	636	29197
16	681	29399
17	726	29527
18	767	29510
19	809	29559
20	848	29464
21	886	29327
22	911	28795
23	933	28247
24	962	27898
25	990	27570
26	1016	27206
27	1040	26842
28	1075	26743
29	1112	26706
30	1149	26654
31	1188	26658
32	1215	26415
33	1255	26436
34	1285	26251
35	1323	26240
36	1359	26204
37	1387	26002
38	1428	26043
39	1469	26088
40	1511	26146
41	1553	26183
42	1592	26187
43	1637	26270
44	1677	26287
45	1716	26274
46	1757	26283
47	1792	26221
48	1834	26242
49	1877	26291
50	1920	26321
51	1961	26331
52	2007	26403
53	2051	26438
54	2088	26385
55	2126	26352
56	2169	26373
57	2213	26406
58	2256	26423
59	2301	26462
60	2346	26500
61	2387	26493
62	2425	26450
63	2463	26410
64	2504	26395
65	2542	26344
66	2579	26298
67	2619	26268
68	2652	26183
69	2692	26158
70	2731	26123
71	2769	26075
72	2800	25973
73	2834	25896
74	2871	25840
75	2911	25820
76	2952	25807
77	2996	25814
78	3040	25822
79	3084	25834
80	3128	25841
81	3166	25798
82	3204	25754
83	3242	25708
84	3280	25666
85	3318	25620
86	3353	25554
87	3391	25513
88	3431	25483
89	3465	25413
90	3501	25357
91	3541	25328
92	3577	25275
93	3617	25246
94	3660	25236
95	3690	25139
96	3729	25107
97	3769	25076
98	3808	25046
99	3854	25054
100	3898	25050
101	3944	25061
102	3993	25085
103	4037	25078
104	4082	25079
105	4121	25040
106	4156	24978
107	4198	24958
108	4239	24933
109	4281	24910
110	4322	24884
111	4364	24863
112	4407	24843
113	4453	24844
114	4494	24817
115	4523	24721
116	4559	24666
117	4599	24636
118	4640	24604
119	4683	24588
120	4724	24559
121	4759	24501
122	4799	24465
123	4836	24415
124	4868	24342
125	4908	24309
126	4952	24292
127	4996	24281
128	5044	24282
129	5082	24240
130	5121	24198
131	5154	24132
132	5186	24059
133	5215	23977
134	5252	23927
135	5288	23877
136	5327	23836
137	5354	23746
138	5390	23693
139	5433	23676
140	5480	23672
141	5526	23664
142	5565	23623
143	5605	23589
144	5637	23523
145	5677	23486
146	5717	23454
147	5756	23416
148	5794	23371
149	5831	23327
150	5866	23270
151	5895	23192
152	5934	23157
153	5971	23111
154	6015	23093
155	6055	23058
156	6087	22993
157	6134	22983
158	6176	22958
159	6215	22920
160	6251	22870
161	6292	22837
162	6328	22792
163	6355	22709
164	6388	22651
165	6423	22599
166	6462	22559
167	6510	22554
168	6559	22551
169	6604	22534
170	6649	22514
171	6692	22490
172	6735	22465
173	6776	22431
174	6818	22402
175	6856	22361
176	6893	22315
177	6930	22272
178	6971	22237
179	7001	22170
180	7028	22094
181	7055	22018
182	7083	21946
183	7111	21876
184	7143	21815
185	7182	21778
186	7227	21759
187	7270	21735
188	7314	21710
189	7360	21695
190	7405	21674
191	7452	21658
192	7497	21638
193	7538	21605
194	7583	21582
195	7623	21549
196	7662	21509
197	7701	21470
198	7742	21438
199	7789	21421
200	7832	21394
201	7877	21369
202	7919	21340
203	7953	21288
204	7988	21237
205	8021	21183
206	8052	21122
207	8082	21061
208	8113	21000
209	8138	20928
210	8176	20886
211	8218	20855
212	8252	20805
213	8281	20742
214	8309	20677
215	8342	20623
216	8374	20569
217	8405	20512
218	8434	20450
219	8463	20389
220	8492	20328
221	8533	20294
222	8575	20266
223	8620	20242
224	8658	20202
225	8692	20153
226	8724	20100
227	8758	20051
228	8794	20007
229	8831	19967
230	8873	19937
231	8919	19914
232	8966	19896
233	9010	19869
234	9049	19832
235	9093	19805
236	9134	19772
237	9174	19737
238	9214	19700
239	9250	19657
240	9281	19603
241	9312	19548
242	9347	19502
243	9376	19444
244	9416	19408
245	9457	19376
246	9498	19343
247	9529	19288
248	9557	19229
249	9588	19176
250	9619	19123
251	9648	19067
252	9681	19018
253	9724	18989
254	9772	18970
255	9821	18952
256	9864	18923
257	9905	18890
258	9936	18837
259	9968	18785
260	9998	18733
261	10026	18675
262	10059	18626
263	10090	18575
264	10122	18525
265	10160	18486
266	10202	18455
267	10247	18430
268	10288	18397
269	10328	18361
270	10358	18308
271	10390	18259
272	10421	18208
273	10452	18158
